loc,trait,group1,group2,meandiff,p-adj,lower,upper,reject
Glyma.12G136000,water_soluble_protein,hap1,hap2,-2.2153,0.027,-4.1747,-0.2559,TRUE
Glyma.13G155300,water_soluble_protein,hap1,hap3,-4.9236,0.0038,-8.4921,-1.3552,TRUE
Glyma.15G274600,water_soluble_protein,hap1,hap4,-4.9236,0.0032,-8.1671,-1.6801,TRUE
Glyma.04G041800,water_soluble_protein,hap1,hap3,-4.1396,0.0201,-7.7486,-0.5306,TRUE
Glyma.04G041800,water_soluble_protein,hap2,hap3,-4.0605,0.0343,-7.8808,-0.2402,TRUE
Glyma.04G043900,water_soluble_protein,hap1,hap3,-3.1212,0.037,-6.0514,-0.1909,TRUE
Glyma.10G104700,water_soluble_protein,hap1,hap4,-5.8614,0.0012,-9.707,-2.0158,TRUE
Glyma.10G104700,water_soluble_protein,hap3,hap4,-6.1473,0.004,-10.6199,-1.6748,TRUE
Glyma.03G001000,water_soluble_protein,hap1,hap2,-5.047,0.0013,-8.0958,-1.9983,TRUE
Glyma.14G118800,water_soluble_protein,hap4,hap5,-6.257,0.009,-11.2057,-1.3083,TRUE
Glyma.04G043400,water_soluble_protein,hap1,hap2,-3.9192,0.0124,-6.9799,-0.8584,TRUE
Glyma.13G252700,water_soluble_protein,hap1,hap2,-2.6278,0.0081,-4.5644,-0.6912,TRUE
Glyma.18G262300,water_soluble_protein,hap2,hap3,-2.5185,0.0276,-4.8121,-0.225,TRUE
Glyma.08G349100,water_soluble_protein,hap1,hap2,-4.6331,0.0001,-6.9765,-2.2898,TRUE
Glyma.16G083700,water_soluble_protein,hap1,hap2,-1.9667,0.0491,-3.9256,-0.0078,TRUE
Glyma.08G288400,water_soluble_protein,hap1,hap3,-3.9851,0.011,-7.2113,-0.7588,TRUE
Glyma.13G202500,water_soluble_protein,hap1,hap2,-4.8463,0.0162,-8.7858,-0.9068,TRUE
Glyma.15G266200,water_soluble_protein,hap1,hap2,-2.8077,0.0091,-4.9089,-0.7065,TRUE
Glyma.15G210800,water_soluble_protein,hap1,hap8,-6.8283,0.0005,-11.3733,-2.2834,TRUE
Glyma.15G210800,water_soluble_protein,hap2,hap8,-6.6517,0.0107,-12.226,-1.0774,TRUE
Glyma.15G210800,water_soluble_protein,hap4,hap8,-5.5269,0.0122,-10.2209,-0.8329,TRUE
Glyma.15G210800,water_soluble_protein,hap6,hap8,-8.7631,0.0015,-15.0095,-2.5166,TRUE
Glyma.16G078800,water_soluble_protein,hap2,hap4,-3.8709,0.0159,-7.2087,-0.5332,TRUE
Glyma.17G233800,water_soluble_protein,hap1,hap3,-2.7222,0.0146,-4.9982,-0.4461,TRUE
Glyma.03G103200,water_soluble_protein,hap1,hap3,-3.8388,0.0012,-6.3636,-1.3141,TRUE
Glyma.03G103200,water_soluble_protein,hap2,hap3,-3.5168,0.0066,-6.206,-0.8277,TRUE
Glyma.11G190500,water_soluble_protein,hap1,hap2,-2.1713,0.0135,-3.8876,-0.4551,TRUE
Glyma.20G112000,water_soluble_protein,hap4,hap8,-6.1528,0.0004,-10.1993,-2.1064,TRUE
Glyma.17G010800,water_soluble_protein,hap1,hap5,-7.7803,0.0014,-13.293,-2.2676,TRUE
Glyma.17G010800,water_soluble_protein,hap2,hap5,-7.8296,0.0003,-12.8776,-2.7817,TRUE
Glyma.17G010800,water_soluble_protein,hap3,hap5,-9.0411,0.0001,-14.3916,-3.6906,TRUE
Glyma.17G010800,water_soluble_protein,hap4,hap5,-7.5627,0.0001,-12.2082,-2.9171,TRUE
Glyma.12G216000,water_soluble_protein,hap1,hap2,-6.3877,0.0012,-10.2183,-2.557,TRUE
Glyma.20G009500,water_soluble_protein,hap1,hap2,-3.5605,0.0012,-5.6862,-1.4349,TRUE
Glyma.18G141900,water_soluble_protein,hap1,hap3,-3.8709,0.017,-7.1722,-0.5697,TRUE
Glyma.18G141900,water_soluble_protein,hap2,hap3,-5.6713,0.0113,-10.2728,-1.0698,TRUE
Glyma.01G074700,water_soluble_protein,hap1,hap2,2.8767,0.0282,0.3113,5.4421,TRUE
Glyma.01G238700,water_soluble_protein,hap1,hap2,-2.0405,0.0306,-3.8881,-0.1929,TRUE
Glyma.18G233700,water_soluble_protein,hap1,hap2,-1.8926,0.0351,-3.6509,-0.1343,TRUE
Glyma.06G246500,water_soluble_protein,hap2,hap3,2.6482,0.0328,0.174,5.1224,TRUE
Glyma.08G302300,water_soluble_protein,hap1,hap3,-3.5373,0.0034,-6.0728,-1.0017,TRUE
Glyma.03G000600,water_soluble_protein,hap1,hap2,-3.4826,0.007,-5.9999,-0.9654,TRUE
Glyma.12G103100,water_soluble_protein,hap1,hap3,-2.4385,0.0265,-4.588,-0.2889,TRUE
Glyma.05G051600,water_soluble_protein,hap2,hap3,5.9636,0.0074,1.3482,10.5789,TRUE
Glyma.08G283200,water_soluble_protein,hap1,hap3,-2.9542,0.0043,-4.9673,-0.9412,TRUE
Glyma.15G271700,water_soluble_protein,hap1,hap2,-3.9051,0.0062,-6.6837,-1.1265,TRUE
Glyma.06G158000,water_soluble_protein,hap1,hap4,-5.4491,0.0033,-9.3419,-1.5562,TRUE
Glyma.06G158000,water_soluble_protein,hap2,hap4,-5.2143,0.0208,-9.781,-0.6475,TRUE
Glyma.04G123500,water_soluble_protein,hap2,hap4,-3.3166,0.0161,-6.18,-0.4532,TRUE
Glyma.08G353900,water_soluble_protein,hap1,hap3,-5.1061,0.0009,-8.3865,-1.8257,TRUE
Glyma.08G353900,water_soluble_protein,hap2,hap3,-7.4139,0.001,-12.2173,-2.6104,TRUE
Glyma.01G219900,water_soluble_protein,hap4,hap6,-6.3681,0.0011,-10.701,-2.0352,TRUE
Glyma.01G224300,water_soluble_protein,hap1,hap2,-2.9103,0.0079,-5.0475,-0.773,TRUE
Glyma.04G027100,water_soluble_protein,hap1,hap4,-4.4953,0.0356,-8.7779,-0.2128,TRUE
Glyma.04G027100,water_soluble_protein,hap4,hap9,5.5331,0.0459,0.0706,10.9955,TRUE
Glyma.04G041900,water_soluble_protein,hap1,hap2,-3.9149,0.0122,-6.9635,-0.8662,TRUE
Glyma.08G178100,water_soluble_protein,hap1,hap2,-3.3502,0.0078,-5.8075,-0.8928,TRUE
Glyma.06G145700,water_soluble_protein,hap1,hap2,-2.9869,0.0254,-5.6751,-0.2986,TRUE
Glyma.06G201500,water_soluble_protein,hap1,hap3,-5.3417,0.0005,-8.6008,-2.0827,TRUE
Glyma.06G201500,water_soluble_protein,hap2,hap3,-4.1209,0.0112,-7.4607,-0.7811,TRUE
Glyma.20G078700,water_soluble_protein,hap1,hap2,-1.9292,0.0131,-3.4478,-0.4106,TRUE
Glyma.10G069100,water_soluble_protein,hap1,hap3,-6.3016,0.004,-10.8917,-1.7116,TRUE
Glyma.10G069100,water_soluble_protein,hap2,hap3,-9.2155,0.0014,-15.3451,-3.0858,TRUE
Glyma.08G068000,water_soluble_protein,hap1,hap3,-1.9553,0.0253,-3.6651,-0.2455,TRUE
Glyma.18G135500,water_soluble_protein,hap1,hap3,-2.8215,0.0214,-5.3021,-0.3409,TRUE
Glyma.18G135500,water_soluble_protein,hap2,hap3,-4.9625,0.0407,-9.7587,-0.1663,TRUE
Glyma.18G137700,water_soluble_protein,hap1,hap4,-4.9182,0.0009,-8.2084,-1.6279,TRUE
Glyma.18G137700,water_soluble_protein,hap2,hap4,-7.0473,0.0023,-12.113,-1.9817,TRUE
Glyma.04G039200,water_soluble_protein,hap1,hap2,2.0785,0.0152,0.4057,3.7513,TRUE
Glyma.19G247000,water_soluble_protein,hap1,hap4,-3.8347,0.0155,-7.0664,-0.6029,TRUE
Glyma.01G080900,water_soluble_protein,hap1,hap2,2.3651,0.0261,0.2853,4.445,TRUE
Glyma.03G098800,water_soluble_protein,hap1,hap3,-5.3467,0.0001,-8.2078,-2.4856,TRUE
Glyma.03G098800,water_soluble_protein,hap2,hap3,-4.8831,0.0003,-7.7872,-1.9791,TRUE
Glyma.16G078400,water_soluble_protein,hap1,hap3,-2.6643,0.018,-4.9533,-0.3754,TRUE
Glyma.16G078400,water_soluble_protein,hap2,hap3,-4.0799,0.0029,-6.9617,-1.1981,TRUE
Glyma.17G017200,water_soluble_protein,hap1,hap2,-8.8844,0,-12.5805,-5.1883,TRUE
Glyma.19G045100,water_soluble_protein,hap4,hap5,2.5074,0.0354,0.1213,4.8936,TRUE
Glyma.10G094900,water_soluble_protein,hap1,hap4,-4.8244,0.0074,-8.7303,-0.9186,TRUE
Glyma.08G288300,water_soluble_protein,hap1,hap2,-3.8476,0.0051,-6.5231,-1.172,TRUE
Glyma.15G219600,water_soluble_protein,hap2,hap7,-8.3907,0,-13.0899,-3.6915,TRUE
Glyma.19G226700,water_soluble_protein,hap1,hap2,-3.6778,0.0003,-5.6352,-1.7204,TRUE
Glyma.08G281700,water_soluble_protein,hap1,hap2,-2.8837,0.0072,-4.9764,-0.791,TRUE
Glyma.03G179900,water_soluble_protein,hap1,hap2,2.3182,0.0067,0.6528,3.9836,TRUE
Glyma.05G127100,water_soluble_protein,hap1,hap2,-6.922,0.0005,-10.7546,-3.0895,TRUE
Glyma.12G117100,water_soluble_protein,hap1,hap2,2.2269,0.0035,0.7413,3.7124,TRUE
Glyma.10G083500,water_soluble_protein,hap1,hap2,-3.7979,0.0002,-5.7756,-1.8203,TRUE
Glyma.04G023700,water_soluble_protein,hap1,hap2,-4.4543,0.0059,-7.6084,-1.3002,TRUE
Glyma.18G159600,water_soluble_protein,hap1,hap3,-4.8771,0.003,-8.4598,-1.2943,TRUE
Glyma.10G082800,water_soluble_protein,hap1,hap2,-4.4883,0,-6.509,-2.4676,TRUE
Glyma.04G046000,water_soluble_protein,hap2,hap3,-4.3566,0.0358,-8.4821,-0.2311,TRUE
Glyma.16G079200,water_soluble_protein,hap2,hap3,-4.3935,0.0025,-7.5765,-1.2105,TRUE
Glyma.18G138800,water_soluble_protein,hap1,hap4,-4.835,0.0043,-8.4999,-1.1701,TRUE
Glyma.18G138800,water_soluble_protein,hap2,hap4,-6.3905,0.0196,-12.0342,-0.7467,TRUE
Glyma.18G138800,water_soluble_protein,hap3,hap4,-4.7553,0.0078,-8.5627,-0.9479,TRUE
Glyma.18G223100,water_soluble_protein,hap1,hap3,-2.5573,0.0243,-4.845,-0.2696,TRUE
Glyma.18G223100,water_soluble_protein,hap2,hap3,-2.9726,0.0085,-5.3094,-0.6357,TRUE
Glyma.06G207000,water_soluble_protein,hap1,hap2,-5.2153,0.0013,-8.6443,-1.7862,TRUE
Glyma.01G219000,water_soluble_protein,hap1,hap2,-4.1524,0.0006,-6.5003,-1.8044,TRUE
Glyma.20G080800,water_soluble_protein,hap1,hap2,-2.5218,0.0015,-4.0673,-0.9763,TRUE
Glyma.14G088300,water_soluble_protein,hap1,hap2,-2.6153,0.0084,-4.6684,-0.5622,TRUE
Glyma.20G232500,water_soluble_protein,hap1,hap2,1.8879,0.0226,0.2685,3.5073,TRUE
Glyma.08G327900,water_soluble_protein,hap1,hap2,-2.3443,0.0107,-4.2353,-0.4533,TRUE
Glyma.06G163200,water_soluble_protein,hap1,hap2,2.2251,0.0054,0.6684,3.7817,TRUE
Glyma.06G144300,water_soluble_protein,hap1,hap2,-1.9944,0.0084,-3.4709,-0.5178,TRUE
Glyma.15G223800,water_soluble_protein,hap10,hap2,8.5183,0.0001,3.4721,13.5645,TRUE
Glyma.02G002500,water_soluble_protein,hap2,hap3,-2.9964,0.0035,-4.9909,-1.0019,TRUE
Glyma.13G154600,water_soluble_protein,hap2,hap3,-4.9372,0.0002,-7.7573,-2.1171,TRUE
Glyma.01G213900,water_soluble_protein,hap1,hap5,-5.566,0,-7.9258,-3.2063,TRUE
Glyma.18G234500,water_soluble_protein,hap1,hap2,-1.948,0.0295,-3.699,-0.1969,TRUE
Glyma.13G189200,water_soluble_protein,hap2,hap4,-5.236,0.0013,-8.9263,-1.5458,TRUE
Glyma.13G189200,water_soluble_protein,hap3,hap4,-3.1354,0.0202,-5.9413,-0.3296,TRUE
Glyma.18G164600,water_soluble_protein,hap1,hap2,-3.8944,0.0081,-6.9374,-0.8515,TRUE
Glyma.13G194500,water_soluble_protein,hap17,hap2,8.3047,0.0014,2.6418,13.9675,TRUE
Glyma.13G194500,water_soluble_protein,hap17,hap5,6.332,0.0328,0.377,12.2869,TRUE
Glyma.13G194500,water_soluble_protein,hap2,hap6,-4.9384,0.0077,-8.8532,-1.0237,TRUE
Glyma.15G166300,water_soluble_protein,hap2,hap3,5.5361,0.0027,1.6561,9.416,TRUE
Glyma.06G223700,water_soluble_protein,hap1,hap2,-2.8493,0.0375,-5.5676,-0.1309,TRUE
Glyma.06G232600,water_soluble_protein,hap1,hap2,-2.1984,0.0498,-4.395,-0.0019,TRUE
Glyma.17G155900,water_soluble_protein,hap1,hap2,3.1099,0.0048,0.8053,5.4145,TRUE
Glyma.18G136100,water_soluble_protein,hap1,hap3,-3.0181,0.0163,-5.5788,-0.4573,TRUE
Glyma.09G062900,water_soluble_protein,hap1,hap2,2.8501,0.0237,0.3861,5.3141,TRUE
Glyma.06G143700,water_soluble_protein,hap1,hap2,-2.5393,0.0408,-5.0043,-0.0744,TRUE
Glyma.13G216700,water_soluble_protein,hap2,hap4,-4.7073,0.0079,-8.482,-0.9326,TRUE
Glyma.05G147100,water_soluble_protein,hap1,hap2,3.0766,0.0031,0.8141,5.3391,TRUE
Glyma.05G147100,water_soluble_protein,hap2,hap4,-3.4425,0.0123,-6.3281,-0.557,TRUE
Glyma.20G122200,water_soluble_protein,hap1,hap4,-3.9698,0.0047,-6.9034,-1.0362,TRUE
Glyma.11G232900,water_soluble_protein,hap1,hap2,-3.8436,0.0123,-6.8401,-0.8471,TRUE
Glyma.18G245200,water_soluble_protein,hap11,hap3,5.7833,0.0034,1.3975,10.1692,TRUE
Glyma.18G245200,water_soluble_protein,hap11,hap4,5.8278,0.0053,1.245,10.4105,TRUE
Glyma.04G034600,water_soluble_protein,hap1,hap4,-3.2874,0.0286,-6.298,-0.2768,TRUE
Glyma.08G182300,water_soluble_protein,hap1,hap2,-4.6764,0.0006,-7.2992,-2.0537,TRUE
Glyma.01G225000,water_soluble_protein,hap1,hap2,2.8418,0.0133,0.4905,5.1931,TRUE
Glyma.01G225000,water_soluble_protein,hap2,hap3,-3.1681,0.0128,-5.7764,-0.5597,TRUE
Glyma.19G083300,water_soluble_protein,hap1,hap2,-3.4928,0.0087,-6.0913,-0.8942,TRUE
Glyma.13G250500,water_soluble_protein,hap1,hap3,-3.4695,0.0064,-6.1135,-0.8255,TRUE
Glyma.06G205900,water_soluble_protein,hap1,hap3,-6.2039,0.0001,-9.6812,-2.7266,TRUE
Glyma.06G205900,water_soluble_protein,hap3,hap4,5.0545,0.0098,1.0178,9.0911,TRUE
Glyma.18G223700,water_soluble_protein,hap2,hap3,-2.8893,0.0152,-5.32,-0.4586,TRUE
Glyma.13G216100,water_soluble_protein,hap2,hap4,-4.9111,0.0016,-8.2063,-1.616,TRUE
Glyma.18G071400,water_soluble_protein,hap1,hap5,-6.6079,0.0004,-10.6165,-2.5994,TRUE
Glyma.18G071400,water_soluble_protein,hap2,hap5,-8.2144,0,-12.5109,-3.9179,TRUE
Glyma.12G098900,water_soluble_protein,hap1,hap2,-2.42,0.0038,-4.0458,-0.7941,TRUE
Glyma.18G223000,water_soluble_protein,hap2,hap3,-2.9501,0.0093,-5.2921,-0.6082,TRUE
Glyma.20G239400,water_soluble_protein,hap1,hap2,1.7742,0.0446,0.0436,3.5048,TRUE
Glyma.17G256000,water_soluble_protein,hap1,hap2,-5.9711,0.0001,-8.9242,-3.018,TRUE
Glyma.06G144400,water_soluble_protein,hap1,hap2,-1.8889,0.0367,-3.66,-0.1179,TRUE
Glyma.03G098600,water_soluble_protein,hap1,hap3,-5.3729,0.0001,-8.2469,-2.4989,TRUE
Glyma.03G098600,water_soluble_protein,hap2,hap3,-4.8046,0.0004,-7.7065,-1.9027,TRUE
Glyma.06G237400,water_soluble_protein,hap1,hap5,-7.3041,0.001,-12.3751,-2.2332,TRUE
Glyma.06G237400,water_soluble_protein,hap3,hap5,-6.6695,0.0012,-11.3573,-1.9817,TRUE
Glyma.06G237400,water_soluble_protein,hap4,hap5,-6.9386,0.0084,-12.6226,-1.2545,TRUE
Glyma.15G209400,water_soluble_protein,hap1,hap8,-8.3024,0,-12.6598,-3.9451,TRUE
Glyma.15G209400,water_soluble_protein,hap2,hap8,-9.1955,0,-13.8985,-4.4924,TRUE
Glyma.15G209400,water_soluble_protein,hap3,hap8,-7.7664,0.0001,-12.3052,-3.2276,TRUE
Glyma.15G209400,water_soluble_protein,hap4,hap8,-9.2222,0.0002,-15.0081,-3.4363,TRUE
Glyma.09G025300,water_soluble_protein,hap1,hap4,-3.0705,0.0165,-5.6793,-0.4617,TRUE
Glyma.04G024000,water_soluble_protein,hap1,hap2,-4.0382,0.0035,-6.7323,-1.344,TRUE
Glyma.01G227800,water_soluble_protein,hap1,hap2,-3.2776,0.0455,-6.4895,-0.0657,TRUE
Glyma.16G082000,water_soluble_protein,hap1,hap2,-2.9827,0.0076,-5.163,-0.8024,TRUE
Glyma.02G310900,water_soluble_protein,hap2,hap3,-4.7481,0.0071,-8.5134,-0.9828,TRUE
Glyma.12G050600,water_soluble_protein,hap1,hap2,-4.8723,0.003,-8.0597,-1.6849,TRUE
Glyma.18G148800,water_soluble_protein,hap1,hap3,-3.7408,0.007,-6.6193,-0.8623,TRUE
Glyma.18G244600,water_soluble_protein,hap1,hap3,-5.5846,0.0017,-9.3479,-1.8212,TRUE
Glyma.18G244600,water_soluble_protein,hap2,hap3,-7.4304,0.0007,-12.105,-2.7558,TRUE
Glyma.12G074000,water_soluble_protein,hap1,hap2,-7.8269,0.0011,-12.4718,-3.182,TRUE
Glyma.05G149800,water_soluble_protein,hap1,hap2,-2.7995,0.005,-4.8816,-0.7175,TRUE
Glyma.08G315100,water_soluble_protein,hap1,hap2,-3.2532,0.0084,-5.6588,-0.8477,TRUE
Glyma.06G118800,water_soluble_protein,hap1,hap2,3.1106,0.017,0.5641,5.6571,TRUE
Glyma.12G098700,water_soluble_protein,hap1,hap3,-2.1196,0.0253,-3.9729,-0.2663,TRUE
Glyma.07G017100,water_soluble_protein,hap1,hap2,-2.0394,0.0189,-3.7382,-0.3406,TRUE
Glyma.20G089500,water_soluble_protein,hap1,hap2,4.5326,0.0009,1.8769,7.1884,TRUE
Glyma.20G009800,water_soluble_protein,hap1,hap2,-3.0295,0.0024,-4.967,-1.0919,TRUE
Glyma.13G254100,water_soluble_protein,hap1,hap2,-2.455,0.0143,-4.4124,-0.4976,TRUE
Glyma.04G035200,water_soluble_protein,hap1,hap2,-2.3538,0.0217,-4.3582,-0.3494,TRUE
Glyma.02G001900,water_soluble_protein,hap1,hap2,-3.1213,0.0015,-5.2075,-1.035,TRUE
Glyma.20G086500,water_soluble_protein,hap1,hap2,-2.8382,0.0007,-4.461,-1.2155,TRUE
Glyma.15G035400,water_soluble_protein,hap1,hap2,-2.6727,0.0013,-4.2878,-1.0576,TRUE
Glyma.18G151300,water_soluble_protein,hap1,hap3,-5.3336,0.0002,-8.4518,-2.2153,TRUE
Glyma.18G151300,water_soluble_protein,hap2,hap3,-3.4014,0.0324,-6.5735,-0.2293,TRUE
Glyma.17G013500,water_soluble_protein,hap1,hap3,-8.5125,0,-12.6687,-4.3563,TRUE
Glyma.17G013500,water_soluble_protein,hap2,hap3,-7.4323,0.0004,-11.922,-2.9426,TRUE
Glyma.11G084400,water_soluble_protein,hap1,hap4,-4.5347,0.0111,-8.2064,-0.863,TRUE
Glyma.08G119600,water_soluble_protein,hap1,hap2,-4.1471,0.0164,-7.5244,-0.7697,TRUE
Glyma.02G242900,water_soluble_protein,hap1,hap9,-5.0843,0.0124,-9.35,-0.8186,TRUE
Glyma.02G242900,water_soluble_protein,hap4,hap9,-5.0146,0.0273,-9.6273,-0.4018,TRUE
Glyma.11G152300,water_soluble_protein,hap1,hap2,-4.4511,0.0016,-7.1827,-1.7195,TRUE
Glyma.01G080800,water_soluble_protein,hap1,hap2,2.3439,0.0271,0.2684,4.4195,TRUE
Glyma.15G229400,water_soluble_protein,hap1,hap4,-2.9705,0.0331,-5.7501,-0.191,TRUE
Glyma.15G229400,water_soluble_protein,hap2,hap4,-5.6353,0.0008,-9.2138,-2.0569,TRUE
Glyma.08G160900,water_soluble_protein,hap1,hap2,-2.3536,0.0196,-4.3251,-0.382,TRUE
Glyma.06G151900,water_soluble_protein,hap1,hap4,-3.9054,0.0092,-7.0794,-0.7313,TRUE
Glyma.06G151900,water_soluble_protein,hap2,hap4,-5.6584,0.0102,-10.3091,-1.0076,TRUE
Glyma.13G164300,water_soluble_protein,hap2,hap3,-2.1973,0.0284,-4.2068,-0.1878,TRUE
Glyma.13G237000,water_soluble_protein,hap1,hap2,-1.8223,0.0371,-3.5346,-0.11,TRUE
Glyma.04G010200,water_soluble_protein,hap1,hap3,-5.7265,0.0041,-9.6118,-1.8411,TRUE
Glyma.06G213700,water_soluble_protein,hap1,hap2,-3.5022,0.0274,-6.6888,-0.3156,TRUE
Glyma.10G080900,water_soluble_protein,hap1,hap3,-4.2013,0.0083,-7.4938,-0.9089,TRUE
Glyma.13G370700,water_soluble_protein,hap1,hap2,-7.7349,0.0003,-11.872,-3.5977,TRUE
Glyma.06G153300,water_soluble_protein,hap1,hap2,1.72,0.0436,0.05,3.39,TRUE
Glyma.20G228600,water_soluble_protein,hap1,hap2,2.3788,0.004,0.7725,3.9851,TRUE
Glyma.16G082700,water_soluble_protein,hap1,hap2,-2.8391,0.0368,-5.539,-0.1391,TRUE
Glyma.13G191800,water_soluble_protein,hap11,hap5,-4.6537,0.0321,-9.0843,-0.223,TRUE
Glyma.08G120100,water_soluble_protein,hap2,hap3,-2.5618,0.0264,-4.8807,-0.2429,TRUE
Glyma.18G133500,water_soluble_protein,hap1,hap4,-3.1814,0.0238,-6.0572,-0.3057,TRUE
Glyma.18G233400,water_soluble_protein,hap1,hap3,-6.5899,0.0029,-11.2453,-1.9344,TRUE
Glyma.18G233400,water_soluble_protein,hap2,hap3,-6.483,0.0057,-11.3667,-1.5993,TRUE
Glyma.10G083600,water_soluble_protein,hap1,hap3,-3.7258,0.0028,-6.352,-1.0996,TRUE
Glyma.06G200100,water_soluble_protein,hap1,hap2,-3.4018,0.0148,-6.3105,-0.4931,TRUE
Glyma.06G200100,water_soluble_protein,hap2,hap6,3.7154,0.0195,0.4371,6.9937,TRUE
Glyma.20G083100,water_soluble_protein,hap1,hap3,-4.1606,0.0001,-6.3888,-1.9324,TRUE
Glyma.04G034700,water_soluble_protein,hap1,hap2,-2.3757,0.0205,-4.3811,-0.3703,TRUE
Glyma.05G156200,water_soluble_protein,hap1,hap3,2.8897,0.004,0.7864,4.993,TRUE
Glyma.18G139600,water_soluble_protein,hap1,hap3,-5.0013,0.002,-8.4243,-1.5783,TRUE
Glyma.18G139600,water_soluble_protein,hap2,hap3,-4.8272,0.0037,-8.3115,-1.3429,TRUE
Glyma.14G146300,water_soluble_protein,hap1,hap2,-3.1787,0.012,-5.6481,-0.7093,TRUE
Glyma.11G014600,water_soluble_protein,hap1,hap2,-2.9051,0.0248,-5.4375,-0.3727,TRUE
Glyma.19G033400,water_soluble_protein,hap2,hap3,6.0007,0.0086,1.28,10.7213,TRUE
Glyma.03G097600,water_soluble_protein,hap1,hap2,-1.8954,0.0132,-3.3886,-0.4022,TRUE
Glyma.04G055400,water_soluble_protein,hap1,hap2,-4.223,0.01,-7.422,-1.0241,TRUE
Glyma.20G087500,water_soluble_protein,hap1,hap2,5.0997,0.0003,2.3704,7.829,TRUE
