loc,trait,group1,group2,meandiff,p-adj,lower,upper,reject
Glyma.03G017400,protein_content,hap3,hap4,1.4147,0.002,0.4443,2.3851,TRUE
Glyma.15G045900,protein_content,hap1,hap2,1.823,0.0002,0.7788,2.8672,TRUE
Glyma.15G045900,protein_content,hap1,hap3,1.3183,0.0051,0.3348,2.3019,TRUE
Glyma.15G030200,protein_content,hap1,hap2,1.08,0.0027,0.379,1.781,TRUE
Glyma.11G062200,protein_content,hap1,hap3,-1.0693,0.0167,-1.9428,-0.1957,TRUE
Glyma.13G007100,protein_content,hap1,hap4,-1.0818,0.0233,-2.0443,-0.1194,TRUE
Glyma.13G049100,protein_content,hap1,hap2,1.7482,0.0011,0.711,2.7855,TRUE
Glyma.08G122400,protein_content,hap1,hap3,1.3294,0.0044,0.352,2.3068,TRUE
Glyma.08G205400,protein_content,hap1,hap2,1.6094,0.0001,0.6569,2.562,TRUE
Glyma.18G117800,protein_content,hap3,hap5,-2.0027,0.0001,-3.1331,-0.8723,TRUE
Glyma.04G050400,protein_content,hap1,hap3,-2.3164,0.0004,-3.594,-1.0388,TRUE
Glyma.18G170700,protein_content,hap1,hap2,1.0136,0.0157,0.1935,1.8336,TRUE
Glyma.10G264400,protein_content,hap3,hap4,1.1043,0.0306,0.0732,2.1353,TRUE
Glyma.13G142200,protein_content,hap1,hap3,-1.0644,0.0056,-1.8662,-0.2625,TRUE
Glyma.17G241600,protein_content,hap1,hap4,1.9166,0.02,0.2189,3.6142,TRUE
Glyma.17G071400,protein_content,hap1,hap2,1.0324,0.0095,0.2105,1.8543,TRUE
Glyma.17G071400,protein_content,hap1,hap3,1.291,0.0035,0.3619,2.2201,TRUE
Glyma.08G112600,protein_content,hap1,hap2,1.6226,0.0003,0.6678,2.5775,TRUE
Glyma.08G231400,protein_content,hap1,hap3,1.3211,0.0009,0.5459,2.0962,TRUE
Glyma.10G272000,protein_content,hap2,hap4,1.8995,0.0139,0.284,3.515,TRUE
Glyma.10G272000,protein_content,hap3,hap4,2.0779,0.0071,0.4276,3.7282,TRUE
Glyma.08G132400,protein_content,hap1,hap3,1.2019,0.0007,0.4405,1.9633,TRUE
Glyma.16G025500,protein_content,hap1,hap2,1.0158,0.0017,0.3849,1.6467,TRUE
Glyma.08G204700,protein_content,hap2,hap4,-1.8541,0.0057,-3.3237,-0.3845,TRUE
Glyma.08G204700,protein_content,hap3,hap4,-2.3165,0.0035,-4.0808,-0.5523,TRUE
Glyma.06G210600,protein_content,hap1,hap2,1.2553,0.0009,0.5217,1.989,TRUE
Glyma.10G172800,protein_content,hap1,hap2,-1.0889,0.0051,-1.901,-0.2768,TRUE
Glyma.08G204600,protein_content,hap1,hap2,1.4641,0,0.8882,2.0399,TRUE
Glyma.08G145600,protein_content,hap1,hap2,1.4616,0,0.697,2.2262,TRUE
Glyma.15G138800,protein_content,hap1,hap2,-0.755,0.0308,-1.4395,-0.0705,TRUE
Glyma.08G063100,protein_content,hap1,hap2,1.3111,0.0009,0.5468,2.0754,TRUE
Glyma.04G123500,protein_content,hap1,hap4,1.9835,0,0.8774,3.0897,TRUE
Glyma.03G013900,protein_content,hap1,hap2,1.2005,0.0087,0.2279,2.1731,TRUE
Glyma.06G230500,protein_content,hap1,hap2,1.1437,0.0004,0.5118,1.7755,TRUE
Glyma.15G069400,protein_content,hap1,hap2,1.1775,0.0002,0.5632,1.7917,TRUE
Glyma.11G169200,protein_content,hap1,hap2,0.7776,0.0394,0.0382,1.517,TRUE
Glyma.19G150300,protein_content,hap1,hap7,2.7222,0.0029,0.6534,4.7911,TRUE
Glyma.19G150300,protein_content,hap3,hap7,3.5721,0.0004,1.1986,5.9456,TRUE
Glyma.19G150300,protein_content,hap6,hap7,2.7315,0.0016,0.7358,4.7272,TRUE
Glyma.19G007600,protein_content,hap1,hap2,-1.0967,0.0094,-1.9696,-0.2239,TRUE
Glyma.04G041900,protein_content,hap1,hap2,-1.8026,0.005,-3.0538,-0.5513,TRUE
Glyma.06G145700,protein_content,hap1,hap3,1.4667,0.0039,0.4007,2.5327,TRUE
Glyma.14G196200,protein_content,hap1,hap3,-0.8022,0.0294,-1.5234,-0.0811,TRUE
Glyma.10G239000,protein_content,hap2,hap3,1.7349,0.0125,0.2765,3.1934,TRUE
Glyma.20G222300,protein_content,hap2,hap3,-1.4048,0.0024,-2.4198,-0.3898,TRUE
Glyma.08G108900,protein_content,hap1,hap2,1.5578,0,0.921,2.1945,TRUE
Glyma.18G135500,protein_content,hap1,hap2,1.8478,0.013,0.3215,3.3742,TRUE
Glyma.17G062200,protein_content,hap1,hap2,-1.0707,0.0085,-1.865,-0.2764,TRUE
Glyma.03G206500,protein_content,hap1,hap2,1.1192,0.0013,0.4433,1.7951,TRUE
Glyma.06G202500,protein_content,hap1,hap2,1.2967,0,0.6822,1.9113,TRUE
Glyma.08G257600,protein_content,hap1,hap3,-1.306,0.0012,-2.0891,-0.5229,TRUE
Glyma.05G245500,protein_content,hap2,hap3,-1.2474,0.0359,-2.4294,-0.0653,TRUE
Glyma.18G166600,protein_content,hap1,hap3,1.6744,0.0214,0.2015,3.1474,TRUE
Glyma.12G117100,protein_content,hap1,hap2,1.2748,0,0.6931,1.8565,TRUE
Glyma.03G072000,protein_content,hap1,hap2,0.949,0.0416,0.0364,1.8616,TRUE
Glyma.04G046000,protein_content,hap1,hap3,-2.2484,0.0023,-3.8103,-0.6866,TRUE
Glyma.04G046000,protein_content,hap2,hap3,-1.949,0.0184,-3.6296,-0.2684,TRUE
Glyma.20G101800,protein_content,hap1,hap3,-1.4277,0.0011,-2.3606,-0.4947,TRUE
Glyma.06G207000,protein_content,hap1,hap3,1.6309,0.0217,0.1936,3.0681,TRUE
Glyma.03G057900,protein_content,hap1,hap5,1.6534,0.015,0.264,3.0428,TRUE
Glyma.03G057900,protein_content,hap4,hap5,1.983,0.032,0.137,3.8289,TRUE
Glyma.16G016600,protein_content,hap1,hap2,-1.69,0.0003,-2.5839,-0.7961,TRUE
Glyma.09G192800,protein_content,hap1,hap2,1.1321,0.0111,0.2613,2.0028,TRUE
Glyma.18G194800,protein_content,hap1,hap2,1.6234,0.0385,0.0685,3.1783,TRUE
Glyma.08G275600,protein_content,hap1,hap2,1.2773,0.0028,0.4456,2.1091,TRUE
Glyma.07G051600,protein_content,hap1,hap4,1.0914,0.0161,0.1484,2.0344,TRUE
Glyma.15G031100,protein_content,hap1,hap2,1.0798,0.0024,0.3885,1.7711,TRUE
Glyma.02G161900,protein_content,hap1,hap2,1.2864,0.0188,0.2159,2.3569,TRUE
Glyma.20G221000,protein_content,hap2,hap3,-1.3489,0.002,-2.2737,-0.424,TRUE
Glyma.03G241600,protein_content,hap1,hap2,-0.7031,0.0285,-1.3314,-0.0747,TRUE
Glyma.08G108000,protein_content,hap1,hap2,1.5611,0,0.8916,2.2307,TRUE
Glyma.07G045100,protein_content,hap1,hap2,1.5208,0.0003,0.7136,2.3279,TRUE
Glyma.20G139200,protein_content,hap1,hap2,-0.9112,0.0091,-1.5929,-0.2296,TRUE
Glyma.08G237100,protein_content,hap1,hap2,1.4154,0.0008,0.5968,2.234,TRUE
Glyma.01G213900,protein_content,hap1,hap5,-1.3951,0.0072,-2.4087,-0.3815,TRUE
Glyma.10G207500,protein_content,hap1,hap2,1.324,0.0038,0.4327,2.2154,TRUE
Glyma.04G189800,protein_content,hap1,hap2,0.7643,0.0185,0.1296,1.399,TRUE
Glyma.04G092900,protein_content,hap1,hap2,1.7286,0.0095,0.4262,3.0309,TRUE
Glyma.08G114300,protein_content,hap1,hap3,1.4325,0.0014,0.4809,2.384,TRUE
Glyma.08G114300,protein_content,hap2,hap3,1.9809,0.0021,0.6201,3.3417,TRUE
Glyma.13G090000,protein_content,hap1,hap2,1.4608,0.0049,0.4472,2.4744,TRUE
Glyma.15G032000,protein_content,hap1,hap2,1.1943,0.0048,0.3094,2.0793,TRUE
Glyma.06G138400,protein_content,hap1,hap2,-1.0458,0.0027,-1.7243,-0.3672,TRUE
Glyma.15G062200,protein_content,hap1,hap3,1.7228,0,0.8811,2.5644,TRUE
Glyma.08G231100,protein_content,hap1,hap2,1.2099,0.002,0.4485,1.9713,TRUE
Glyma.13G307200,protein_content,hap1,hap2,1.322,0.0478,0.0103,2.6338,TRUE
Glyma.04G163300,protein_content,hap1,hap2,1.3347,0.0007,0.5742,2.0952,TRUE
Glyma.17G028100,protein_content,hap1,hap2,1.4164,0.0001,0.7383,2.0944,TRUE
Glyma.20G066700,protein_content,hap1,hap2,1.9151,0.0002,0.9058,2.9245,TRUE
Glyma.17G074200,protein_content,hap1,hap2,1.2741,0.0002,0.6109,1.9374,TRUE
Glyma.15G029100,protein_content,hap1,hap2,1.0716,0.0043,0.3407,1.8025,TRUE
Glyma.11G133300,protein_content,hap1,hap2,-0.6967,0.0251,-1.3054,-0.0881,TRUE
Glyma.17G019000,protein_content,hap1,hap4,1.8133,0.0043,0.4824,3.1442,TRUE
Glyma.17G019000,protein_content,hap2,hap4,1.4353,0.003,0.4154,2.4552,TRUE
Glyma.18G181700,protein_content,hap1,hap2,1.0059,0.0019,0.3769,1.635,TRUE
Glyma.08G283900,protein_content,hap1,hap2,1.2837,0.0008,0.5381,2.0293,TRUE
Glyma.17G159800,protein_content,hap1,hap3,0.9606,0.0079,0.2104,1.7107,TRUE
Glyma.17G159800,protein_content,hap2,hap3,1.5663,0.0263,0.149,2.9837,TRUE
Glyma.01G010500,protein_content,hap1,hap2,1.3214,0.0057,0.3899,2.2529,TRUE
Glyma.10G049600,protein_content,hap1,hap2,1.3154,0.0002,0.5564,2.0743,TRUE
Glyma.18G168800,protein_content,hap1,hap3,1.8036,0.0007,0.7684,2.8388,TRUE
Glyma.01G225000,protein_content,hap1,hap2,1.3343,0.0055,0.3318,2.3368,TRUE
Glyma.11G130900,protein_content,hap1,hap2,-1.1499,0.0012,-1.8402,-0.4596,TRUE
Glyma.03G060300,protein_content,hap3,hap7,-2.3756,0.0191,-4.4905,-0.2608,TRUE
Glyma.14G199500,protein_content,hap10,hap2,-1.9714,0.0121,-3.6444,-0.2984,TRUE
Glyma.14G199500,protein_content,hap10,hap4,-2.2718,0.0067,-4.0954,-0.4481,TRUE
Glyma.12G134500,protein_content,hap1,hap2,1.886,0.0051,0.574,3.1979,TRUE
Glyma.08G276500,protein_content,hap3,hap5,1.8863,0.0002,0.7937,2.979,TRUE
Glyma.06G220500,protein_content,hap1,hap2,0.9169,0.0052,0.2767,1.5571,TRUE
Glyma.07G269000,protein_content,hap3,hap4,-2.0222,0.0111,-3.6615,-0.3828,TRUE
Glyma.07G141400,protein_content,hap1,hap2,1.759,0.004,0.5668,2.9512,TRUE
Glyma.02G273900,protein_content,hap1,hap2,1.9413,0.0025,0.6895,3.1931,TRUE
Glyma.17G009400,protein_content,hap1,hap2,-0.6232,0.0423,-1.2245,-0.0219,TRUE
Glyma.15G049700,protein_content,hap1,hap2,1.4931,0.0001,0.7591,2.227,TRUE
Glyma.15G034700,protein_content,hap1,hap3,1.0021,0.0288,0.0834,1.9209,TRUE
Glyma.15G034700,protein_content,hap2,hap3,1.002,0.0193,0.1329,1.871,TRUE
Glyma.15G051200,protein_content,hap1,hap2,1.2787,0.0004,0.5743,1.983,TRUE
Glyma.08G073200,protein_content,hap1,hap2,1.4523,0.0066,0.4095,2.4951,TRUE
Glyma.01G011600,protein_content,hap2,hap3,3.1207,0.0003,1.273,4.9684,TRUE
Glyma.03G017000,protein_content,hap1,hap2,1.2888,0.0272,0.1032,2.4744,TRUE
Glyma.03G017000,protein_content,hap1,hap4,1.6046,0.0013,0.4987,2.7105,TRUE
Glyma.20G188200,protein_content,hap1,hap2,1.321,0.0139,0.2714,2.3705,TRUE
Glyma.19G016700,protein_content,hap1,hap2,-0.9387,0.0176,-1.7118,-0.1657,TRUE
Glyma.20G037300,protein_content,hap1,hap3,-1.4943,0.0342,-2.91,-0.0786,TRUE
Glyma.20G037300,protein_content,hap2,hap3,-2.2188,0.0178,-4.1575,-0.28,TRUE
Glyma.20G037300,protein_content,hap3,hap7,2.491,0.0005,0.8825,4.0995,TRUE
Glyma.10G219400,protein_content,hap1,hap2,-0.6948,0.0302,-1.3224,-0.0671,TRUE
Glyma.18G194100,protein_content,hap1,hap2,1.1081,0.0351,0.0783,2.138,TRUE
Glyma.13G306900,protein_content,hap1,hap2,1.1807,0.0005,0.5239,1.8374,TRUE
Glyma.08G237800,protein_content,hap1,hap3,1.4,0.0021,0.437,2.3629,TRUE
Glyma.13G326700,protein_content,hap1,hap3,-1.7072,0,-2.6163,-0.798,TRUE
Glyma.08G205600,protein_content,hap2,hap3,1.5419,0.0237,0.1477,2.9361,TRUE
Glyma.15G046400,protein_content,hap1,hap2,1.9115,0.0001,0.8734,2.9496,TRUE
Glyma.15G046400,protein_content,hap1,hap3,1.2248,0.0097,0.2471,2.2026,TRUE
Glyma.04G129400,protein_content,hap1,hap2,1.4121,0.0004,0.6324,2.1919,TRUE
Glyma.14G052600,protein_content,hap1,hap2,-0.8252,0.0078,-1.4308,-0.2196,TRUE
Glyma.08G116400,protein_content,hap1,hap2,1.4997,0,0.7837,2.2158,TRUE
Glyma.10G151400,protein_content,hap1,hap2,-0.7116,0.032,-1.3612,-0.062,TRUE
Glyma.10G208700,protein_content,hap1,hap2,1.5383,0.0001,0.7727,2.3038,TRUE
Glyma.16G200000,protein_content,hap1,hap2,0.9319,0.0057,0.2745,1.5892,TRUE
Glyma.08G113400,protein_content,hap1,hap2,1.5829,0.0002,0.7578,2.4081,TRUE
Glyma.01G179500,protein_content,hap1,hap3,2.3572,0.0012,0.8062,3.9081,TRUE
Glyma.13G043800,protein_content,hap2,hap4,1.4093,0.0027,0.3815,2.437,TRUE
Glyma.05G214700,protein_content,hap1,hap2,1.3502,0.014,0.2759,2.4245,TRUE
Glyma.20G222500,protein_content,hap2,hap3,-1.3411,0.0053,-2.3788,-0.3035,TRUE
Glyma.20G222500,protein_content,hap3,hap4,1.6563,0.0078,0.3289,2.9837,TRUE
Glyma.03G211000,protein_content,hap1,hap2,0.8629,0.0242,0.114,1.6119,TRUE
Glyma.06G118800,protein_content,hap1,hap2,1.268,0.0065,0.3586,2.1773,TRUE
Glyma.03G206200,protein_content,hap1,hap2,0.9098,0.0069,0.2527,1.5668,TRUE
Glyma.11G246200,protein_content,hap1,hap2,1.0682,0.001,0.4355,1.7008,TRUE
Glyma.13G357900,protein_content,hap1,hap2,1.4166,0.0009,0.5885,2.2448,TRUE
Glyma.02G153600,protein_content,hap1,hap2,1.0879,0.0101,0.2622,1.9135,TRUE
Glyma.11G139100,protein_content,hap2,hap3,-1.7817,0.0029,-3.0898,-0.4737,TRUE
Glyma.04G161300,protein_content,hap1,hap3,1.3664,0.0018,0.4401,2.2927,TRUE
Glyma.12G021900,protein_content,hap1,hap3,1.6545,0.0031,0.5659,2.7431,TRUE
Glyma.04G053900,protein_content,hap1,hap3,-1.82,0.0064,-3.2089,-0.4311,TRUE
Glyma.05G183300,protein_content,hap1,hap2,-0.8068,0.0118,-1.4326,-0.181,TRUE
Glyma.03G020900,protein_content,hap1,hap2,0.9644,0.014,0.1971,1.7318,TRUE
Glyma.18G247800,protein_content,hap1,hap2,1.0687,0.0005,0.4716,1.6658,TRUE
Glyma.15G100000,protein_content,hap1,hap2,1.1081,0.0039,0.3027,1.9135,TRUE
Glyma.03G207300,protein_content,hap1,hap2,1.1089,0.0041,0.3558,1.862,TRUE
Glyma.20G222400,protein_content,hap1,hap2,1.3196,0,0.7331,1.906,TRUE
Glyma.15G035400,protein_content,hap1,hap2,-0.7452,0.0274,-1.4065,-0.0839,TRUE
Glyma.08G105800,protein_content,hap1,hap2,1.7953,0,0.9057,2.6849,TRUE
Glyma.13G005100,protein_content,hap1,hap2,-0.825,0.0185,-1.5099,-0.1401,TRUE
Glyma.11G139800,protein_content,hap1,hap2,-0.6781,0.0453,-1.3419,-0.0143,TRUE
Glyma.05G038000,protein_content,hap1,hap2,1.8168,0.0013,0.7206,2.913,TRUE
Glyma.08G111400,protein_content,hap1,hap3,2.1034,0.0001,0.961,3.2458,TRUE
Glyma.20G074400,protein_content,hap1,hap4,1.8994,0.004,0.5146,3.2841,TRUE
Glyma.07G190000,protein_content,hap1,hap5,1.6093,0.0059,0.3912,2.8274,TRUE
Glyma.19G008400,protein_content,hap1,hap2,-0.9912,0.0022,-1.6219,-0.3604,TRUE
Glyma.10G179800,protein_content,hap1,hap3,1.004,0.0022,0.3645,1.6434,TRUE
Glyma.17G228900,protein_content,hap1,hap2,-1.0016,0.0256,-1.9044,-0.0988,TRUE
Glyma.08G143900,protein_content,hap1,hap2,-0.8879,0.0092,-1.5534,-0.2225,TRUE
Glyma.04G190200,protein_content,hap2,hap3,2.2855,0.0046,0.5393,4.0317,TRUE
Glyma.04G190200,protein_content,hap3,hap5,-3.2368,0.0009,-5.4108,-1.0628,TRUE
Glyma.04G113300,protein_content,hap1,hap3,1.4873,0.0002,0.6347,2.3399,TRUE
Glyma.18G162300,protein_content,hap10,hap4,-2.1952,0.0271,-4.2267,-0.1637,TRUE
Glyma.06G200000,protein_content,hap1,hap2,1.3782,0.0002,0.5695,2.1869,TRUE
Glyma.06G200000,protein_content,hap2,hap4,-2.1631,0,-3.1742,-1.152,TRUE
Glyma.06G275000,protein_content,hap1,hap4,-1.5802,0,-2.3896,-0.7709,TRUE
Glyma.17G019500,protein_content,hap1,hap2,1.6004,0.0031,0.4623,2.7385,TRUE
Glyma.20G186600,protein_content,hap1,hap2,1.7158,0.0013,0.6786,2.753,TRUE
Glyma.01G042900,protein_content,hap1,hap3,-1.0987,0.0229,-2.044,-0.1535,TRUE
Glyma.17G243700,protein_content,hap2,hap6,2.5766,0.0026,0.7025,4.4506,TRUE
Glyma.15G065000,protein_content,hap1,hap3,-1.0408,0.0407,-2.0466,-0.0349,TRUE
Glyma.13G327500,protein_content,hap1,hap2,-0.7764,0.0142,-1.3955,-0.1574,TRUE
Glyma.08G201600,protein_content,hap1,hap2,1.3608,0.0007,0.4996,2.222,TRUE
Glyma.18G176600,protein_content,hap1,hap2,1.3761,0.0087,0.3526,2.3995,TRUE
Glyma.06G041100,protein_content,hap1,hap2,-1.3068,0.0077,-2.3248,-0.2888,TRUE
Glyma.17G027200,protein_content,hap1,hap2,1.2189,0.0018,0.4595,1.9783,TRUE
Glyma.14G196300,protein_content,hap1,hap3,-0.9965,0.0185,-1.8565,-0.1365,TRUE
Glyma.06G197900,protein_content,hap2,hap6,-2.761,0.0001,-4.4075,-1.1146,TRUE
Glyma.06G197900,protein_content,hap3,hap6,-2.0297,0.0001,-3.1918,-0.8677,TRUE
Glyma.10G209400,protein_content,hap1,hap2,1.3559,0.0005,0.6029,2.1089,TRUE
Glyma.17G071800,protein_content,hap1,hap3,1.3106,0.0044,0.3138,2.3075,TRUE
Glyma.17G071800,protein_content,hap1,hap5,1.7396,0.0019,0.506,2.9731,TRUE
Glyma.18G131100,protein_content,hap2,hap3,2.1743,0.0045,0.5168,3.8318,TRUE
Glyma.13G309200,protein_content,hap1,hap2,1.051,0.0383,0.0571,2.0449,TRUE
Glyma.08G142600,protein_content,hap1,hap2,1.1301,0.001,0.3983,1.8619,TRUE
Glyma.08G142600,protein_content,hap2,hap6,-2.0272,0.001,-3.3434,-0.711,TRUE
Glyma.18G160100,protein_content,hap1,hap2,1.9055,0.0069,0.5293,3.2817,TRUE
Glyma.08G120100,protein_content,hap1,hap2,1.3972,0.0005,0.5417,2.2527,TRUE
Glyma.08G120100,protein_content,hap2,hap3,-1.0686,0.0112,-1.9356,-0.2016,TRUE
Glyma.19G138700,protein_content,hap2,hap7,1.7306,0.0176,0.2213,3.2399,TRUE
Glyma.01G010000,protein_content,hap2,hap4,1.1766,0.0282,0.1009,2.2523,TRUE
Glyma.10G211100,protein_content,hap1,hap2,1.4611,0.0006,0.6317,2.2905,TRUE
Glyma.06G200100,protein_content,hap2,hap6,-2.0162,0.0001,-3.1949,-0.8375,TRUE
Glyma.20G061200,protein_content,hap1,hap2,1.9602,0.0036,0.6477,3.2727,TRUE
Glyma.15G016100,protein_content,hap1,hap2,1.2415,0.0241,0.1641,2.319,TRUE
Glyma.02G225600,protein_content,hap1,hap3,-1.6338,0.0134,-2.9888,-0.2789,TRUE
Glyma.02G225600,protein_content,hap2,hap3,-2.0037,0.0034,-3.4438,-0.5636,TRUE
Glyma.20G188600,protein_content,hap1,hap2,1.679,0.0021,0.5223,2.8356,TRUE
Glyma.20G087500,protein_content,hap1,hap2,1.8539,0.0036,0.6124,3.0954,TRUE
Glyma.01G012100,protein_content,hap1,hap2,1.6667,0.0031,0.5702,2.7632,TRUE
Glyma.13G029300,protein_content,hap1,hap2,-0.9219,0.0282,-1.7645,-0.0793,TRUE
Glyma.03G061100,protein_content,hap3,hap4,-3.3588,0.0003,-5.4535,-1.2642,TRUE
Glyma.15G048100,protein_content,hap2,hap7,1.8517,0.0108,0.2977,3.4058,TRUE
Glyma.15G048100,protein_content,hap4,hap7,1.8418,0.0351,0.0831,3.6004,TRUE
